DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
67615369,0,0,0,0,1,0,0,0,0,0,155,2,2,,1,1,gmail.com,free,191,docx,upload
67629055,0,1,1,0,0,0,0,0,0,0,433,2,2,,0,1,yahoo.com,free,429,docx,upload
67630903,0,0,0,0,1,0,1,0,0,0,517,2,1,,0,1,hotmail.com,free,0,pdf,upload
67631029,0,1,1,1,0,0,0,0,0,0,158,2,2,,1,1,hotmail.com,free,3632,docx,upload
67631440,0,1,1,0,0,0,0,0,0,0,39,3,1,,0,1,yahoo.com,free,2654,pdf,upload
67633528,0,0,0,0,1,0,1,0,0,0,38,1,1,,0,1,gmail.com,free,1,docx,upload
67636045,0,0,0,0,1,0,0,0,0,0,38,1,2,,0,1,yahoo.com,free,66,docx,upload
67637065,0,1,1,0,0,0,0,0,0,0,39,2,4,,3,1,yahoo.com,free,838,pdf,dropbox
67637254,0,0,0,0,0,0,0,0,0,0,38,1,1,,0,1,yahoo.com,free,1027,pdf,upload
67638520,0,0,0,1,0,0,0,0,0,0,38,1,1,,0,1,yahoo.com,free,464,doc,upload
67639264,0,0,0,0,1,0,1,0,0,0,38,1,3,,1,1,icloud.com,free,0,pptx,upload
67641814,0,0,0,0,1,0,0,0,0,0,38,1,1,,0,1,hotmail.com,free,116,docx,upload
67641961,0,0,0,0,1,0,1,0,0,0,38,2,2,,1,1,gmail.com,free,1,docx,upload
67656688,0,0,0,0,1,0,0,0,0,0,55,2,294,,250,1,studentmojo.com,free,149,docx,upload
67656802,0,1,1,0,0,0,0,0,0,0,55,2,294,,266,1,studentmojo.com,free,1607,docx,upload
67666897,0,0,0,0,1,0,0,0,0,0,38,1,1,,0,1,gmail.com,free,121,doc,upload
67668067,0,0,0,0,1,0,1,0,0,0,38,1,2,,1,1,gmail.com,free,1,pdf,google_drive
67670005,0,0,0,0,1,0,0,0,0,0,38,1,1,,0,1,maricopa.edu,free,248,docx,upload
67672984,0,1,1,0,0,0,0,0,0,0,38,2,1,,0,1,yahoo.com,free,1347,docx,upload
67675528,0,0,0,0,1,0,1,0,0,0,169,2,1,,0,1,yahoo.com,free,2,docx,upload
67676242,0,0,0,0,1,0,1,0,0,0,52,4,3,,1,1,yahoo.com,free,6,docx,upload
67677088,0,0,0,0,1,0,0,0,0,0,37,1,2,,1,1,yahoo.com,free,15,docx,upload
67677907,0,1,1,0,0,0,0,0,0,0,37,1,2,,1,1,gmail.com,free,838,pdf,dropbox
67678870,0,0,0,0,1,0,0,0,0,0,37,1,1,,0,1,gmail.com,free,81,docx,upload
67680589,0,0,0,0,1,0,0,0,0,0,37,1,2046,,108,1,gmail.com,free,89,docx,upload
67680688,0,0,0,0,1,0,0,0,0,0,37,1,2046,,141,1,gmail.com,free,134,docx,upload
67681306,0,0,0,0,1,0,1,0,0,0,37,1,2046,,232,1,gmail.com,free,135,docx,upload
67681759,0,0,0,0,1,0,0,0,0,0,37,1,2046,,294,1,gmail.com,free,130,docx,upload
67682227,0,1,1,0,0,0,0,0,0,0,37,1,2046,,435,1,gmail.com,free,410,docx,upload
67682284,0,0,0,0,1,0,0,0,0,0,37,1,2046,,454,1,gmail.com,free,97,docx,upload
67682368,0,1,1,0,0,0,0,0,0,0,37,1,2046,,482,1,gmail.com,free,689,docx,upload
67683823,0,0,0,0,1,0,0,0,0,0,37,1,2046,,834,1,gmail.com,free,144,docx,upload
67684102,0,0,0,0,1,0,0,0,0,0,37,1,2046,,897,1,gmail.com,free,247,docx,upload
67684222,0,0,0,0,1,0,0,0,0,0,37,1,2046,,937,1,gmail.com,free,70,docx,upload
67684291,0,0,0,0,1,0,0,0,0,0,37,1,2046,,960,1,gmail.com,free,140,docx,upload
67684909,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1043,1,gmail.com,free,143,docx,upload
67684945,0,0,0,0,1,0,1,0,0,0,37,1,2046,,1054,1,gmail.com,free,152,docx,upload
67685818,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1175,1,gmail.com,free,145,docx,upload
67685836,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1181,1,gmail.com,free,102,docx,upload
67686301,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1306,1,gmail.com,free,41,docx,upload
67686361,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1326,1,gmail.com,free,63,docx,upload
67686769,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1432,1,gmail.com,free,86,docx,upload
67687171,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1547,1,gmail.com,free,73,docx,upload
67687615,0,1,1,0,0,0,0,0,0,0,37,1,1,,0,1,outlook.com,free,3060,doc,upload
67687780,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1582,1,gmail.com,free,155,docx,upload
67688107,0,0,0,0,1,0,1,0,0,0,37,1,2046,,1690,1,gmail.com,free,143,docx,upload
67688134,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1699,1,gmail.com,free,217,docx,upload
67688227,0,0,0,0,1,0,1,0,0,0,37,1,2046,,1730,1,gmail.com,free,145,docx,upload
67688635,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1784,1,gmail.com,free,136,docx,upload
67688707,0,1,1,0,0,0,0,0,0,0,37,1,2046,,1808,1,gmail.com,free,777,docx,upload
67689484,0,0,0,0,1,0,1,0,0,0,37,1,2046,,1898,1,gmail.com,free,138,docx,upload
67689880,0,0,0,0,1,0,0,0,0,0,37,1,2046,,1994,1,gmail.com,free,91,docx,upload
67689919,0,0,0,0,1,0,0,0,0,0,37,1,2046,,2007,1,gmail.com,free,75,docx,upload
